product_name,store_name,rating,comment_count,price,sold,link,price_scaled,sold_scaled
Thẻ Nhớ Kioxia 32GB và Thẻ Nhớ Sandisk (64GB/128GB/256GB) Chính Hãng - EZVIZ Hoang Nguyen Authorized Store,EZVIZ VN Authorized Store,5.0,750.0,159000.0,2800.0,https://www.lazada.vn/products/the-nho-kioxia-32gb-va-the-nho-sandisk-64gb128gb256gb-chinh-hang-ezviz-hoang-nguyen-authorized-store-i1428010198.html,-0.24039766245367367,0.12380023270923282
♥COD + Thẻ Nhớ Micro SD TOSHIBA Chính Hãng Chính Hãng 100% Thẻ TF 128GB UHS-I Thẻ Nhớ Flash MicroSDXC U3 128GB Micro SDHC128GB Class10 M303,sbiqdn store,4.6,1016.0,32000.0,4700.0,https://www.lazada.vn/products/cod-the-nho-micro-sd-toshiba-chinh-hang-chinh-hang-100-the-tf-128gb-uhs-i-the-nho-flash-microsdxc-u3-128gb-micro-sdhc128gb-class10-m303-i1115472142.html,-0.33305396644870644,0.45081214401522074
💞【Readystock】 + Giao hàng miễn phí + cá tuyết💞 Đầu thẻ Micro SD Class 10 thẻ TF 8GB 16GB 32GB 64GB 128GB 256GB 512GB 1024GB Lên đến 98 MB/giây Thẻ Nhớ Cho Điện Thoại Máy Tính Bảng THẺ FLASH,AUGUST-MALL ZERO,4.5,95.0,69000.0,281.0,https://www.lazada.vn/products/readystock-giao-hang-mien-phi-ca-tuyet-dau-the-micro-sd-class-10-the-tf-8gb-16gb-32gb-64gb-128gb-256gb-512gb-1024gb-len-den-98-mbgiay-the-nho-cho-dien-thoai-may-tinh-bang-the-flash-i2618304070.html,-0.30605961016668903,-0.30974871706960067
Sony Thẻ nhớ Micro SD 32GB/64GB/128GB/256GB/512GB/1024GB tốc độ cao lớp 10 UHS-1 Thẻ TF,Electronic Collection Shop,4.7,36.0,75000.0,48.0,https://www.lazada.vn/products/sony-the-nho-micro-sd-32gb64gb128gb256gb512gb1024gb-toc-do-cao-lop-10-uhs-1-the-tf-i2660775507.html,-0.3016821469858213,-0.34985070408765073
Thẻ nhớ 2G Thẻ Nhớ Micro SD Dung Lượng 2G Giao Ngẫu Nhiên - KEN warehouse,KEN warehouse,5.0,3.0,22000.0,41.0,https://www.lazada.vn/products/the-nho-2g-the-nho-micro-sd-dung-luong-2g-giao-ngau-nhien-ken-warehouse-i2579859445.html,-0.34034973841681926,-0.3510554848135149
"[Thẻ nhớ 128g] Thẻ Nhớ 128GB chuyên dụng CAMERA, Điện thoại,Máy ảnh nhập khẩu - Cam kết hàng chất lượng,sfdfđ - dungtrung77",Lazano Shop,3.7,7.0,33000.0,54.0,https://www.lazada.vn/products/the-nho-128g-the-nho-128gb-chuyen-dung-camera-dien-thoaimay-anh-nhap-khau-cam-ket-hang-chat-luongsfdfd-dungtrung77-i2744169777.html,-0.33232438925189517,-0.3488180348940529
[LAZMALL] Thẻ Nhớ Micro SD HIKVISION 32GB Class 10 - EZVIZ Hàng Chính Hãng,EZVIZ VN Authorized Store,4.9,116.0,84170.0,655.0,https://www.lazada.vn/products/lazmall-the-nho-micro-sd-hikvision-32gb-class-10-ezviz-hang-chinh-hang-i1304118870.html,-0.29499192409106184,-0.24537900400200094
[Còn Hàng] Thẻ Nhớ Kỹ Thuật Số Bảo Mật Siêu Nhỏ TF Tốc Độ Cao Mini 128G/256G/512G/1T Cho Điện Thoại,tanjiaxun48297,Không có đánh giá,557.0,24137.0,2500.0,https://www.lazada.vn/products/con-hang-the-nho-ky-thuat-so-bao-mat-sieu-nho-tf-toc-do-cao-mini-128g256g512g1t-cho-dien-thoai-i1099770055.html,-0.3387906319472335,0.07216677302933999
Ổ Đĩa SSD Máy Tính Xách Tay Abdo 480GB 120G/128GB 240GB/256GB 512GB Cho Máy Tính Để Bàn Và Máy Tính Xách Tay SATA Mới,TAO Hard Tools,4.9,7.0,132000.0,2000.0,https://www.lazada.vn/products/o-dia-ssd-may-tinh-xach-tay-abdo-480gb-120g128gb-240gb256gb-512gb-cho-may-tinh-de-ban-va-may-tinh-xach-tay-sata-moi-i2524355654.html,-0.26009624676757825,-0.01388899310381473
BH 12 tháng SSD cài sẵn WlN 120GB 240GB 500GB 1TB ổ cứng ssd laptop pc 32GB 64GB 64G 128GB 256GB 240G 512GB 480GB 120G tháo máy,Linh kiện máy tính BCC,Không có đánh giá,156.0,255636.0,345.0,https://www.lazada.vn/products/bh-12-thang-ssd-cai-san-wln-120gb-240gb-500gb-1tb-o-cung-ssd-laptop-pc-32gb-64gb-64g-128gb-256gb-240g-512gb-480gb-120g-thao-may-i2570298726.html,-0.16989424046261867,-0.2987335790045568
Ổ SSD HDD 2.5 ổ cứng SSD 120GB 240GB 1TB 512GB 128GB 256GB HD SATA Đĩa ổ cứng trong Cho laptop máy tính Kingspec,KingSpec,4.9,1133.0,359100.0,6600.0,https://www.lazada.vn/products/o-ssd-hdd-25-o-cung-ssd-120gb-240gb-1tb-512gb-128gb-256gb-hd-sata-dia-o-cung-trong-cho-laptop-may-tinh-kingspec-i1251437452.html,-0.09440926537173622,0.7778240553212088
Kingspec M.2 Nvme 2280 128GB 256GB 512GB 1Tb M.2 Nội Bộ SSD Ổ cứng lưu trữ thể rắn Cho Máy Tính Xách Tay Và PC,KingSpec,4.9,1210.0,412000.0,4600.0,https://www.lazada.vn/products/kingspec-m2-nvme-2280-128gb-256gb-512gb-1tb-m2-noi-bo-ssd-o-cung-luu-tru-the-ran-cho-may-tinh-xach-tay-va-pc-i1260499588.html,-0.055814631660419424,0.4336009907885898
GUDGA 2.5 inche Dung lượng SSD 128GB 256GB 512GB 1TB 2TB 4TB SSD 120GB 240g 480GB SSD SATA3 Ổ cứng lưu trữ thể rắn nội bộ cho máy tính xách tay Máy tính để bàn Sata đĩa,GUDGA,Không có đánh giá,18.0,1350000.0,55.0,https://www.lazada.vn/products/gudga-25-inche-dung-luong-ssd-128gb-256gb-512gb-1tb-2tb-4tb-ssd-120gb-240g-480gb-ssd-sata3-o-cung-luu-tru-the-ran-noi-bo-cho-may-tinh-xach-tay-may-tinh-de-ban-sata-dia-i2834513233.html,0.6285287789485627,-0.34864592336178657
GUDGA SSD Nmve M2 128GB 256GB 512GB 1TB Ổ Cứng Lưu Trữ Thể Rắn Nvme M2 Ổ Ổ Cứng SSD M.2 2280 PCIe 3.0 Cho Máy Tính Xách Tay Pcie M2 Ổ Máy Tính Để Bàn,GUDGA,4.9,170.0,754353.0,418.0,https://www.lazada.vn/products/gudga-ssd-nmve-m2-128gb-256gb-512gb-1tb-o-cung-luu-tru-the-ran-nvme-m2-o-o-cung-ssd-m2-2280-pcie-30-cho-may-tinh-xach-tay-pcie-m2-o-may-tinh-de-ban-i2210846036.html,0.19395831039951325,-0.28616943714911625
KingSpec SSD M2 22X80mm M.2 SATA3 128GB 256GB 512GB 1TB HDD NGFF Ổ Cứng Thể Rắn Cho Máy Tính Để Bàn Đối với PC Máy tính xách tay Màn hình nền,GUDGA,Không có đánh giá,11.0,287807.0,19.0,https://www.lazada.vn/products/kingspec-ssd-m2-22x80mm-m2-sata3-128gb-256gb-512gb-1tb-hdd-ngff-o-cung-the-ran-cho-may-tinh-de-ban-doi-voi-pc-may-tinh-xach-tay-man-hinh-nen-i2213337876.html,-0.1464230124640029,-0.35484193852337376
"Ổ CỨNG SSD 128GB, SSD 120GB, SSD 256GB, SSD 512GB 2.5' sata 3, Bảo hành 3 năm",FORAN.STORE,4.8,21.0,199999.0,150.0,https://www.lazada.vn/products/o-cung-ssd-128gb-ssd-120gb-ssd-256gb-ssd-512gb-25-sata-3-bao-hanh-3-nam-i2054095795.html,-0.21048572696160794,-0.3322953277964872
